Paper,Passage,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Subject,Topic,Year,Image Url
GS1,,How many Delimitation Commissions have been constituted by the Government of India till December 2023?,One,Two,Three,Four,D,,Indian Polity and Governance,Constitutional and Non-constitutional Bodies,2024,
GS1,,"The Constitution (71 Amendment) Act, 1992 amends the Eighth Schedule to the Constitution to include which of the following languages?\n1. Konkani\n2. Manipuri\n3. Nepali\n4. Maithili\nSelect the correct answer using the code given below:","1, 2 and 3","1, 2 and 4","1, 3 and 4","2, 3 and 4",A,,Indian Polity and Governance,Features of the Indian Constitution,2024,
GS1,,Consider the following pairs:\nParty               Its Leader\n1. Bharatiya Jana Sangh   Dr. Shyama Prasad Mukherjee\n2. Socialist Party         C. Rajagopalachari\n3. Congress for Democracy  Jagjivan Ram\n4. Swatantra Party         Acharya Narendra Dev\nHow many of the above are correctly matched?,Only one,Only two,Only three,All four,B,,Modern India,"Development of Press, Education, and Civil Services",2024,
GS1,,Which of the following statements are correct about the Constitution of India?\n1. Powers of the Municipalities are given in Part IX A of the Constitution.\n2. Emergency provisions are given in Part XVIII of the Constitution.\n3. Provisions related to the amendment of the Constitution are given in Part XX of the Constitution.\nSelect the answer using the code given below:,1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,,Indian Polity and Governance,Features of the Indian Constitution,2024,
GS1,,Which one of the following statements is correct as per the Constitution of India?,Inter-State trade and commerce is a State subject under the State List.,Inter-State migration is a State subject under the State List.,Inter-State quarantine is a Union subject under the Union List.,Corporation tax is a State subject under the State List.,C,,Indian Polity and Governance,Features of the Indian Constitution,2024,
GS1,,"Under which of the following Articles of the Constitution of India, has the Supreme Court of India placed the Right to Privacy?",Article 15,Article 16,Article 19,Article 21,D,,Indian Polity and Governance,Features of the Indian Constitution,2024,
GS1,,What are the duties of the Chief of Defence Staff (CDS) as Head of the Department of Military Affairs?\n1. Permanent Chairman of Chiefs of Staff Committee\n2. Exercise military command over the three Service Chiefs\n3. Principal Military Advisor to Defence Minister on all tri-service matters\nSelect the correct answer using the code given below:,"1, 2 and 3",1 and 2 only,2 and 3 only,1 and 3 only,D,,Science & Tech and Basic Science,Defence Technology,2024,
GS1,,Operations undertaken by the Army towards upliftment of the local population in remote areas to include addressing of their basic needs is called:,Operation Sankalp,Operation Maitri,Operation Sadbhavana,Operation Madad,C,,Science & Tech and Basic Science,Defence Technology,2024,
GS1,,The longest border between any two countries in the world is between:,Canada and the United States of America,Chile and Argentina,China and India,Kazakhstan and Russian Federation,A,,World Geography,Human and Economic Geography,2024,
GS1,,Which of the following statements about the Ethics Committee in the Lok Sabha are correct?\n1. Initially it was an ad-hoc Committee.\n2. Only a Member of the Lok Sabha can make a complaint relating to unethical conduct of a member of the Lok Sabha.\n3. This Committee cannot take up any matter which is sub-judice.\nSelect the answer using the code given below:,1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C,,Indian Polity and Governance,Constitutional and Non-constitutional Bodies,2024,
GS1,,Who was the Provisional President of the Constituent Assembly before Dr. Rajendra Prasad took over?,C. Rajagopalachari,Dr. B.R. Ambedkar,T.T. Krishnamachari,Dr. Sachchidananda Sinha,D,,Modern India,Independence to Partition,2024,
GS1,,"With reference to the Government of India Act, 1935, consider the following statements:\n1. It provided for the establishment of an All India Federation based on the union of the British Indian Provinces and Princely States.\n2. Defence and Foreign Affairs were kept under the control of the federal legislature.\n\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,,Modern India,India in the 18th Century,2024,
GS1,,Which one of the following is a work attributed to playwright Bhasa?,Kavyalankara,Natyashastra,Madhyama-vyayoga,Mahabhashya,C,,Art & Culture,Literature: Religious and Scientific,2024,
GS1,,"Sanghabhuti, an Indian Buddhist monk, who travelled to China at the end of the fourth century AD, was the author of a commentary on:",Prajnaparamita Sutra,Visuddhimagga,Sarvastivada Vinaya Sain,Lalitavistara,C,,Ancient India,Gupta and Post-Gupta Age,2024,
GS1,,Consider the following properties included in the World Heritage List released by UNESCO:\n1. Shantiniketan\n2. Rani-ki-Vav\n3. Sacred Ensembles of the Hoysalas\n4. Mahabodhi Temple Complex at Bodhgaya\n\nHow many of the above properties were included in 2023?,Only one,Only two,Only three,All four,B,,Art & Culture,Architecture and Sculpture,2024,
GS1,,"As per Article 368 of the Constitution of India, the Parliament may amend any provision of the Constitution by way of:\n1. Addition\n2. Variation\n3. Repeal\n\nSelect the correct answer using the code given below:",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,,Indian Polity and Governance,Features of the Indian Constitution,2024,
GS1,,"Consider the following countries:\n1. Italy\n2. Japan\n3. Nigeria\n4. South Korea\n5. South Africa\n\nWhich of the above countries are frequently mentioned in the media for their low birth rates, or ageing population or declining population?","1, 2 and 4","1, 3 and 5",2 and 4 only,3 and 5 only,A,,World Geography,Human and Economic Geography,2024,
GS1,,Which of the following statements are correct in respect of a Money Bill in the Parliament?\n1. Article 109 mentions special procedure in respect of Money Bills.\n2. A Money Bill shall not be introduced in the Council of States.\n3. The Rajya Sabha can either approve the Bill or suggest changes but cannot reject it.\n4. Amendments to a Money Bill suggested by the Rajya Sabha have to be accepted by the Lok Sabha.\n\nSelect the answer using the code given below:,1 and 2 only,2 and 3 only,"1, 2 and 3","1, 3 and 4",C,,Indian Polity and Governance,Legislature,2024,
GS1,,Which of the following is/are correctly matched in terms of equivalent rank in the three services of Indian Defence forces?\nArmy Airforce Navy\n1. Brigadier Air Commodore Commander\n2. Major General Air Vice Marshal Vice Admiral\n3. Major Squadron Leader Lieutenant Commander\n4. Lieutenant Colonel Group Captain Captain\n\nSelect the correct answer using the code given below:,1 and 4,1 and 3,"2, 3 and 4",3 only,D,,Current Affairs and Miscellaneous,Miscellaneous,2024,
GS1,,"The North Eastern Council (NEC) was established by the North Eastern Council Act, 1971. Subsequent to the amendment of NEC Act in 2002, the Council comprises which of the following members?\n1. Governor of the Constituent State\n2. Chief Minister of the Constituent State\n3. Three Members to be nominated by the President of India\n4. The Home Minister of India\n\nSelect the correct answer using the code given below:","1, 2 and 3 only","1, 3 and 4 only",2 and 4 only,"1, 2, 3 and 4",A,,Indian Polity and Governance,Constitutional and Non-constitutional Bodies,2024,
GS1,,Consider the following statements regarding 'Nari Shakti Vandan Adhiniyam':\n1. Provisions will come into effect from the 18th Lok Sabha.\n2. This will be in force for 15 years after becoming an Act.\n3. There are provisions for the reservation of seats for Scheduled Castes Women within the quota reserved for the Scheduled Castes.\nWhich of the statements given above are correct?,"1, 2 and 3",1 and 2 only,2 and 3 only,1 and 3 only,C,,Indian Polity and Governance,Constitutional and Non-constitutional Bodies,2024,
GS1,,Which of the following statements about 'Exercise Mitra Shakti-2023' are correct?\n1. This was a joint military exercise between India and Bangladesh\n2. It commenced in Aundh (Pune).\n3. Joint response during counter-terrorism operations was a goal of this operation.\n4. Indian Air Force was a part of this exercise.\nSelect the answer using the code given below:,"1, 2 and 3","1, 2 and 4","1, 3 and 4","2, 3 and 4",D,,International Relations,India & Its Neighbors,2024,
GS1,,A Writ of Prohibition is an order issued by the Supreme Court or High Courts to:,a government officer prohibiting him from taking a particular action.,the Parliament/Legislative Assembly to pass a law on Prohibition.,the lower court prohibiting continuation of proceedings in a case.,the Government prohibiting it from following an unconstitutional policy.,C,,Indian Polity and Governance,Judiciary,2024,
GS1,,Consider the following statements:\n1. It is the Governor of the State who recognizes and declares any community of that State as a Scheduled Tribe.\n2. A community declared as a Scheduled Tribe in a State need not be so in another State.\nWhich of the statements given above is/are correct?,1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Indian Polity and Governance,Features of the Indian Constitution,2024,
GS1,,"With reference to Union Budget, consider the following statements:\n1. The Union Finance Minister on behalf of the Prime Minister lays the Annual Financial Statement before both the Houses of Parliament\n2. At the Union level, no demand for a grant can be made except on the recommendation of the President of India.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Indian Economy,Budget Direct Taxes,2024,
GS1,,"Who of the following is the author of the books ""The India Way"" and ""Why Bharat Matters""?",Bhupender Yadav,Nalin Mehta,Shashi Tharoor,Subrahmanyam Jaishankar,D,,Current Affairs and Miscellaneous,GK/Persons in News,2024,
GS1,,Consider the following pairs:\nCountry - Reason for being in the news\n1. Argentina - Worst economic crisis\n2. Sudan - War between the country's regular army and paramilitary forces\n3. Turkey - Rescinded its membership of NATO\nHow many of the pairs given above are correctly matched?,Only one pair,Only two pair,All three pairs,None of the pairs,B,,International Relations,Places in news (2022),2024,
GS1,,Consider the following statement:\nStatement I: Sumed pipeline is a strategic route for Persian Gulf oil and natural gas shipments to Europe.\nStatement-II: Sumed pipeline connects the Red Sea with the Mediterranean Sea.\nWhich one of the following is correct in respect of the above statements?,Both Statement-I and Statement-II are correct and Statement-II explains. Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",A,,World Geography,World Map,2024,
GS1,,Consider the following statements:\n1. The Red Sea receives very little precipitation in any form.\n2. No water enters the Red Sea from rivers.\nWhich of the statements given above is/are correct?,1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,,World Geography,Oceanography,2024,
